"V1" "V2"
"370" 259 26
"371" 260 26
"372" 261 26
"373" 262 26
"374" 263 26
"375" 264 26
"376" 265 26
"377" 266 26
"378" 267 26
"379" 268 26
"380" 269 26
"381" 270 26
"382" 271 26
"383" 272 26
"384" 273 26
"385" 274 26
"386" 275 26
"387" 276 26
"388" 277 26
"389" 278 26
"390" 279 26
"391" 280 26
"392" 281 26
"393" 282 26
"394" 283 26
"395" 284 26
"396" 285 26
"397" 286 26
"398" 287 26
"399" 288 26
"400" 289 26
"401" 290 26
"402" 291 26
"403" 292 26
"404" 293 26
"405" 294 26
"406" 295 26
"407" 296 26
"408" 297 26
"409" 298 26
"410" 299 26
"411" 300 26
"412" 301 26
"413" 302 26
"414" 303 26
"415" 304 26
"416" 305 26
"417" 306 26
"418" 307 26
"419" 308 26
"420" 309 26
"421" 310 26
"422" 311 26
"423" 312 26
"424" 313 26
"425" 314 26
"426" 315 26
"427" 316 26
"428" 317 26
"429" 318 26
"430" 319 26
"431" 320 26
"432" 321 26
"433" 322 26
"434" 323 26
"435" 324 26
"436" 325 26
"437" 326 26
"438" 327 26
"439" 328 26
"440" 329 26
"441" 330 26
"442" 331 26
"443" 332 26
"444" 333 26
"445" 334 26
"446" 335 26
"447" -9605779 3
"448" -11974327 1613
"449" -10921639 216
"450" -6184543 21
"451" -4079167 567
"452" -3815995 498
"453" -3552823 430
"454" -3289651 279
"455" -3026479 169
"456" -2763307 95
"457" -2500135 33
"458" -2236963 13
"459" -1973791 5
"460" -1710619 3
"461" -1447447 1
"462" -4605511 524
"463" -4342339 580
"464" -4868683 382
"465" -5131855 295
"466" -5921371 55
"467" -5658199 114
"468" -5395027 205
"469" -10658467 93
"470" -10395295 41
"471" -10132123 10
"472" -9868951 10
"473" -9079435 3
"474" -8816263 5
"475" -8289919 5
"476" -8553091 4
"477" -8026747 4
"478" -7763575 2
"479" -7500403 3
"480" -7237231 2
"481" -6974059 2
"482" -6447715 10
"483" -6710887 4
"484" -11184811 392
"485" -11447983 709
"486" -11711155 1133
"487" -12237499 1885
"488" -12500671 1949
"489" -12763843 2133
"490" -13027015 1778
"491" -13290187 1316
"492" -13553359 884
"493" -13816531 579
"494" -14079703 262
"495" -14342875 153
"496" -14606047 46
"497" -14869219 25
"498" -15658735 3
"499" -15132391 10
"500" -10987432 283
"501" -8618884 2
"502" -7303024 2
"503" -7829368 4
"504" -7566196 4
"505" -8355712 5
"506" -8092540 2
"507" -7039852 3
"508" -6513508 6
"509" -6776680 7
"510" -5197648 257
"511" -4934476 378
"512" -4671304 476
"513" -4408132 555
"514" -4144960 561
"515" -3881788 509
"516" -3618616 440
"517" -3355444 292
"518" -3092272 204
"519" -2829100 100
"520" -2565928 64
"521" -2302756 26
"522" -2039584 9
"523" -1513240 1
"524" -1776412 4
"525" -5460820 162
"526" -5987164 37
"527" -5723992 100
"528" -6250336 28
"529" -10197916 28
"530" -9934744 15
"531" -9408400 3
"532" -8882056 2
"533" -9145228 6
"534" -9671572 5
"535" -10461088 60
"536" -10724260 113
"537" -11250604 499
"538" -11776948 1232
"539" -12040120 1731
"540" -12303292 1940
"541" -12566464 2089
"542" -12829636 1956
"543" -13092808 1679
"544" -13355980 1281
"545" -13619152 839
"546" -13882324 496
"547" -14145496 259
"548" -14408668 113
"549" -14671840 56
"550" -14935012 21
"551" -15198184 6
"552" -15461356 1
"553" -15724528 1
"554" -11513776 862
